s_category,demo_cat
4 or 5 times,Female
2 or 3 times,Female
2 or 3 times,Male
2 or 3 times,Female
1 time,Female
2 or 3 times,Female
1 time,Female
2 or 3 times,Female
2 or 3 times,Female
2 or 3 times,Female
4 or 5 times,Female
2 or 3 times,Female
4 or 5 times,Male
2 or 3 times,Female
4 or 5 times,Male
2 or 3 times,Male
1 time,Female
1 time,Female
4 or 5 times,Female
1 time,Female
4 or 5 times,Female
2 or 3 times,Male
1 time,Female
1 time,Male
2 or 3 times,Female
6 or more times,Male
2 or 3 times,Female
2 or 3 times,Female
2 or 3 times,Female
1 time,Male
2 or 3 times,Female
1 time,Male
2 or 3 times,Male
2 or 3 times,Male
6 or more times,Female
1 time,Female
1 time,Female
1 time,Female
1 time,Female
1 time,Male
2 or 3 times,Female
2 or 3 times,Female
1 time,Female
4 or 5 times,Male
4 or 5 times,Female
2 or 3 times,Female
1 time,Male
1 time,Female
2 or 3 times,Female
2 or 3 times,Male
1 time,Female
1 time,Male
2 or 3 times,Male
1 time,Female
6 or more times,Male
4 or 5 times,Male
6 or more times,Female
1 time,Female
1 time,Female
6 or more times,Female
1 time,Male
1 time,Male
4 or 5 times,Female
2 or 3 times,Female
1 time,Female
1 time,Female
2 or 3 times,Female
2 or 3 times,Female
1 time,Male
1 time,Female
1 time,Female
1 time,Female
1 time,Female
6 or more times,Female
2 or 3 times,Male
2 or 3 times,Female
1 time,Male
1 time,Female
1 time,Male
6 or more times,Female
1 time,Female
1 time,Female
4 or 5 times,Female
2 or 3 times,Female
6 or more times,Female
1 time,Female
6 or more times,Male
4 or 5 times,Male
2 or 3 times,Female
2 or 3 times,Female
1 time,Female
2 or 3 times,Female
1 time,Female
1 time,Female
2 or 3 times,Female
1 time,Female
1 time,Female
1 time,Male
1 time,Female
2 or 3 times,Female
2 or 3 times,Female
6 or more times,Female
2 or 3 times,Female
1 time,Male
4 or 5 times,Female
2 or 3 times,Male
1 time,Male
2 or 3 times,Female
6 or more times,Female
2 or 3 times,Female
1 time,Female
1 time,Female
2 or 3 times,Female
1 time,Male
1 time,Female
1 time,Female
1 time,Female
2 or 3 times,Female
1 time,Female
1 time,Female
2 or 3 times,Female
2 or 3 times,Male
2 or 3 times,Female
2 or 3 times,Male
1 time,Male
2 or 3 times,Female
2 or 3 times,Female
2 or 3 times,Female
2 or 3 times,Female
2 or 3 times,Female
2 or 3 times,Female
4 or 5 times,Male
2 or 3 times,Female
6 or more times,Male
2 or 3 times,Male
1 time,Female
2 or 3 times,Male
4 or 5 times,Female
4 or 5 times,Female
2 or 3 times,Female
2 or 3 times,Female
1 time,Male
4 or 5 times,Female
1 time,Female
4 or 5 times,Female
6 or more times,Male
1 time,Male
6 or more times,Male
6 or more times,Male
2 or 3 times,Male
1 time,Female
2 or 3 times,Female
6 or more times,Male
1 time,Female
1 time,Male
1 time,Female
2 or 3 times,Male
1 time,Female
1 time,Male
1 time,Male
1 time,Female
6 or more times,Male
1 time,Male
6 or more times,Male
4 or 5 times,Female
2 or 3 times,Female
2 or 3 times,Female
6 or more times,Female
1 time,Female
1 time,Female
4 or 5 times,Male
1 time,Male
6 or more times,Male
1 time,Male
1 time,Male
1 time,Female
2 or 3 times,Male
1 time,Male
1 time,Female
2 or 3 times,Female
2 or 3 times,Female
4 or 5 times,Male
1 time,Male
1 time,Female
1 time,Male
1 time,Male
1 time,Male
2 or 3 times,Female
1 time,Male
6 or more times,Male
2 or 3 times,Female
1 time,Female
6 or more times,Male
2 or 3 times,Male
2 or 3 times,Female
1 time,Male
6 or more times,Female
1 time,Female
1 time,Male
1 time,Female
1 time,Female
2 or 3 times,Male
1 time,Male
6 or more times,Female
1 time,Female
1 time,Female
2 or 3 times,Female
1 time,Female
1 time,Female
1 time,Female
2 or 3 times,Male
2 or 3 times,Female
2 or 3 times,Female
1 time,Female
1 time,Female
1 time,Female
2 or 3 times,Male
1 time,Female
1 time,Female
1 time,Female
2 or 3 times,Male
2 or 3 times,Male
1 time,Female
2 or 3 times,Male
2 or 3 times,Male
1 time,Female
2 or 3 times,Female
2 or 3 times,Female
1 time,Male
1 time,Female
1 time,Female
1 time,Female
1 time,Female
2 or 3 times,Male
1 time,Female
1 time,Female
6 or more times,Male
6 or more times,Male
1 time,Female
1 time,Female
4 or 5 times,Male
2 or 3 times,Female
2 or 3 times,Female
1 time,Male
1 time,Female
1 time,Female
6 or more times,Male
2 or 3 times,Female
1 time,Female
1 time,Female
2 or 3 times,Female
2 or 3 times,Female
4 or 5 times,Male
1 time,Female
1 time,Female
1 time,Female
1 time,Male
1 time,Female
1 time,Female
1 time,Female
4 or 5 times,Female
